"ids","error","source","code","solution","CodeWithNoComments","SolutionWithNoComments"
1,"junit.framework.AssertionFailedError","/source/org/jfree/chart/util/ShapeList.java","@@ -108,7 +108,14 @@ public boolean equals(Object obj) {
         if (!(obj instanceof ShapeList)) {
             return false;
         }
         return super.equals(obj);
 
     }
 
","@@ -108,7 +108,14 @@ public boolean equals(Object obj) {
         if (!(obj instanceof ShapeList)) {
             return false;
         }
         ShapeList that = (ShapeList) obj;
         int listSize = size();
         for (int i = 0; i < listSize; i +) {
            if (!ShapeUtilities.equal((Shape) get(i), (Shape) that.get(i))) {
                return false;
            }
         }
         return true;
 
     }
 
","
         if (!(obj instanceof ShapeList)) {
             return false;
         }
         return super.equals(obj);
 
     }
 
","
         if (!(obj instanceof ShapeList)) {
             return false;
         }
         ShapeList that = (ShapeList) obj;
         int listSize = size();
         for (int i = 0; i < listSize; i +) {
            if (!ShapeUtilities.equal((Shape) get(i), (Shape) that.get(i))) {
                return false;
            }
         }
         return true;
 
     }
 
"
2,"junit.framework.ComparisonFailure","/source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java","@@ -62,7 +62,7 @@ public StandardToolTipTagFragmentGenerator() {
      * @return The formatted HTML area tag attribute(s).
      */
     public String generateToolTipFragment(String toolTipText) {
        return "" title=\"""" + toolTipText
             + ""\"" alt=\""\"""";
     }
 
","@@ -62,7 +62,7 @@ public StandardToolTipTagFragmentGenerator() {
      * @return The formatted HTML area tag attribute(s).
      */
     public String generateToolTipFragment(String toolTipText) {
        return "" title=\"""" + ImageMapUtilities.htmlEscape(toolTipText) 
             + ""\"" alt=\""\"""";
     }
 
","
        return "" title=\"""" + toolTipText
             + ""\"" alt=\""\"""";
     }
 
","
        return "" title=\"""" + ImageMapUtilities.htmlEscape(toolTipText) 
             + ""\"" alt=\""\"""";
     }
 
"
3,"java.lang.IllegalArgumentException","/source/org/jfree/data/time/TimeSeries.java","@@ -941,7 +941,7 @@ public TimeSeries createCopy(RegularTimePeriod start, RegularTimePeriod end)
             endIndex = -(endIndex + 1); // this is first item AFTER end period
             endIndex = endIndex - 1;    // so this is last item BEFORE end
         }
        if (endIndex < 0) {
             emptyRange = true;
         }
         if (emptyRange) {
","@@ -941,7 +941,7 @@ public TimeSeries createCopy(RegularTimePeriod start, RegularTimePeriod end)
             endIndex = -(endIndex + 1); // this is first item AFTER end period
             endIndex = endIndex - 1;    // so this is last item BEFORE end
         }
        if ((endIndex < 0)  || (endIndex < startIndex)) {
             emptyRange = true;
         }
         if (emptyRange) {
","
             endIndex = -(endIndex + 1);              endIndex = endIndex - 1;             }
        if (endIndex < 0) {
             emptyRange = true;
         }
         if (emptyRange) {
","
             endIndex = -(endIndex + 1);              endIndex = endIndex - 1;             }
        if ((endIndex < 0)  || (endIndex < startIndex)) {
             emptyRange = true;
         }
         if (emptyRange) {
"
4,"junit.framework.AssertionFailedError","/source/org/jfree/data/time/Week.java","@@ -172,7 +172,7 @@ public Week(Date time) {
      */
     public Week(Date time, TimeZone zone) {
         // defer argument checking...
        this(time, RegularTimePeriod.DEFAULT_TIME_ZONE, Locale.getDefault());
     }
 
     /**
","@@ -172,7 +172,7 @@ public Week(Date time) {
      */
     public Week(Date time, TimeZone zone) {
         // defer argument checking...
        this(time, zone, Locale.getDefault());
     }
 
     /**
","
  
     public Week(Date time, TimeZone zone) {
                 this(time, RegularTimePeriod.DEFAULT_TIME_ZONE, Locale.getDefault());
     }
 
","
    
     public Week(Date time, TimeZone zone) {
                 this(time, zone, Locale.getDefault());
     }
 
"
5,"junit.framework.AssertionFailedError","/source/org/jfree/data/time/TimePeriodValues.java","@@ -297,9 +297,9 @@ private void updateBounds(TimePeriod period, int index) {
         }
         
         if (this.maxMiddleIndex >= 0) {
          long s = getDataItem(this.minMiddleIndex).getPeriod().getStart()
                 .getTime();
          long e = getDataItem(this.minMiddleIndex).getPeriod().getEnd()
                 .getTime();
             long maxMiddle = s + (e - s) / 2;
             if (middle > maxMiddle) {
","@@ -297,9 +297,9 @@ private void updateBounds(TimePeriod period, int index) {
         }
         
         if (this.maxMiddleIndex >= 0) {
          long s = getDataItem(this.maxMiddleIndex).getPeriod().getStart()
                 .getTime();
          long e = getDataItem(this.maxMiddleIndex).getPeriod().getEnd()
                 .getTime();
             long maxMiddle = s + (e - s) / 2;
             if (middle > maxMiddle) {
","
         }
         
         if (this.maxMiddleIndex >= 0) {
            long s = getDataItem(this.minMiddleIndex).getPeriod().getStart()
                 .getTime();
            long e = getDataItem(this.minMiddleIndex).getPeriod().getEnd()
                 .getTime();
             long maxMiddle = s + (e - s) / 2;
             if (middle > maxMiddle) {
","
         }
         
         if (this.maxMiddleIndex >= 0) {
            long s = getDataItem(this.maxMiddleIndex).getPeriod().getStart()
                 .getTime();
            long e = getDataItem(this.maxMiddleIndex).getPeriod().getEnd()
                 .getTime();
             long maxMiddle = s + (e - s) / 2;
             if (middle > maxMiddle) {
"
6,"java.lang.IndexOutOfBoundsException","/source/org/jfree/data/xy/XYSeries.java","@@ -541,11 +541,15 @@ public XYDataItem addOrUpdate(Number x, Number y) {
         if (x == null) {
             throw new IllegalArgumentException(""Null 'x' argument."");
         }
 
         // if we get to here, we know that duplicate X values are not permitted
         XYDataItem overwritten = null;
         int index = indexOf(x);
      if (index >= 0 && !this.allowDuplicateXValues) {
             XYDataItem existing = (XYDataItem) this.data.get(index);
             try {
                 overwritten = (XYDataItem) existing.clone();
","@@ -541,11 +541,15 @@ public XYDataItem addOrUpdate(Number x, Number y) {
         if (x == null) {
             throw new IllegalArgumentException(""Null 'x' argument."");
         }
      if (this.allowDuplicateXValues) {
          add(x, y);
          return null;
      }
 
         // if we get to here, we know that duplicate X values are not permitted
         XYDataItem overwritten = null;
         int index = indexOf(x);
      if (index >= 0) {
             XYDataItem existing = (XYDataItem) this.data.get(index);
             try {
                 overwritten = (XYDataItem) existing.clone();
","
         if (x == null) {
             throw new IllegalArgumentException(""Null 'x' argument."");
         }
 
                  XYDataItem overwritten = null;
         int index = indexOf(x);
        if (index >= 0 && !this.allowDuplicateXValues) {
             XYDataItem existing = (XYDataItem) this.data.get(index);
             try {
                 overwritten = (XYDataItem) existing.clone();
","
         if (x == null) {
             throw new IllegalArgumentException(""Null 'x' argument."");
         }
        if (this.allowDuplicateXValues) {
            add(x, y);
            return null;
        }
 
                  XYDataItem overwritten = null;
         int index = indexOf(x);
        if (index >= 0) {
             XYDataItem existing = (XYDataItem) this.data.get(index);
             try {
                 overwritten = (XYDataItem) existing.clone();
"
7,"junit.framework.AssertionFailedError","/source/org/jfree/data/time/TimeSeries.java","@@ -1054,6 +1054,8 @@ public TimeSeries createCopy(int start, int end)
             throw new IllegalArgumentException(""Requires start <= end."");
         }
         TimeSeries copy = (TimeSeries) super.clone();
         copy.data = new java.util.ArrayList();
         if (this.data.size() > 0) {
             for (int index = start; index <= end; index++) {
","@@ -1054,6 +1054,8 @@ public TimeSeries createCopy(int start, int end)
             throw new IllegalArgumentException(""Requires start <= end."");
         }
         TimeSeries copy = (TimeSeries) super.clone();
      copy.minY = Double.NaN;
      copy.maxY = Double.NaN;
         copy.data = new java.util.ArrayList();
         if (this.data.size() > 0) {
             for (int index = start; index <= end; index++) {
","
             throw new IllegalArgumentException(""Requires start <= end."");
         }
         TimeSeries copy = (TimeSeries) super.clone();
         copy.data = new java.util.ArrayList();
         if (this.data.size() > 0) {
             for (int index = start; index <= end; index++) {
","
             throw new IllegalArgumentException(""Requires start <= end."");
         }
         TimeSeries copy = (TimeSeries) super.clone();
        copy.minY = Double.NaN;
        copy.maxY = Double.NaN;
         copy.data = new java.util.ArrayList();
         if (this.data.size() > 0) {
             for (int index = start; index <= end; index++) {
"
8,"java.lang.NullPointerException","/source/org/jfree/chart/plot/XYPlot.java","@@ -4490,6 +4490,7 @@ public Range getDataRange(ValueAxis axis) {
                     }
                 }
                 
                     Collection c = r.getAnnotations();
                     Iterator i = c.iterator();
                     while (i.hasNext()) {
@@ -4498,6 +4499,7 @@ public Range getDataRange(ValueAxis axis) {
                             includedAnnotations.add(a);
                         }
                     }
             }
         }
 
","@@ -4490,6 +4490,7 @@ public Range getDataRange(ValueAxis axis) {
                     }
                 }
                 
              if (r != null) {
                     Collection c = r.getAnnotations();
                     Iterator i = c.iterator();
                     while (i.hasNext()) {
@@ -4498,6 +4499,7 @@ public Range getDataRange(ValueAxis axis) {
                             includedAnnotations.add(a);
                         }
                     }
              }
             }
         }
 
","
                     }
                 }
                 
                     Collection c = r.getAnnotations();
                     Iterator i = c.iterator();
                     while (i.hasNext()) {

                             includedAnnotations.add(a);
                         }
                     }
             }
         }
 
","
                     }
                 }
                 
                if (r != null) {
                     Collection c = r.getAnnotations();
                     Iterator i = c.iterator();
                     while (i.hasNext()) {

                             includedAnnotations.add(a);
                         }
                     }
                }
             }
         }
 
"
9,"java.lang.NullPointerException","/source/org/jfree/data/general/DatasetUtilities.java","@@ -752,12 +752,19 @@ public static Range iterateDomainBounds(XYDataset dataset,
             for (int series = 0; series < seriesCount; series++) {
                 int itemCount = dataset.getItemCount(series);
                 for (int item = 0; item < itemCount; item++) {
                     lvalue = intervalXYData.getStartXValue(series, item);
                     uvalue = intervalXYData.getEndXValue(series, item);
                     if (!Double.isNaN(lvalue)) {
                         minimum = Math.min(minimum, lvalue);
                     }
                     if (!Double.isNaN(uvalue)) {
                         maximum = Math.max(maximum, uvalue);
                     }
                 }
@@ -1239,12 +1246,19 @@ public static Range iterateRangeBounds(XYDataset dataset,
             for (int series = 0; series < seriesCount; series++) {
                 int itemCount = dataset.getItemCount(series);
                 for (int item = 0; item < itemCount; item++) {
                     double lvalue = ixyd.getStartYValue(series, item);
                     double uvalue = ixyd.getEndYValue(series, item);
                     if (!Double.isNaN(lvalue)) {
                         minimum = Math.min(minimum, lvalue);
                     }
                     if (!Double.isNaN(uvalue)) {
                         maximum = Math.max(maximum, uvalue);
                     }
                 }
","@@ -752,12 +752,19 @@ public static Range iterateDomainBounds(XYDataset dataset,
             for (int series = 0; series < seriesCount; series++) {
                 int itemCount = dataset.getItemCount(series);
                 for (int item = 0; item < itemCount; item++) {
                  double value = intervalXYData.getXValue(series, item);
                     lvalue = intervalXYData.getStartXValue(series, item);
                     uvalue = intervalXYData.getEndXValue(series, item);
                  if (!Double.isNaN(value)) {
                      minimum = Math.min(minimum, value);
                      maximum = Math.max(maximum, value);
                  }
                     if (!Double.isNaN(lvalue)) {
                         minimum = Math.min(minimum, lvalue);
                      maximum = Math.max(maximum, lvalue);
                     }
                     if (!Double.isNaN(uvalue)) {
                      minimum = Math.min(minimum, uvalue);
                         maximum = Math.max(maximum, uvalue);
                     }
                 }
@@ -1239,12 +1246,19 @@ public static Range iterateRangeBounds(XYDataset dataset,
             for (int series = 0; series < seriesCount; series++) {
                 int itemCount = dataset.getItemCount(series);
                 for (int item = 0; item < itemCount; item++) {
                  double value = ixyd.getYValue(series, item);
                     double lvalue = ixyd.getStartYValue(series, item);
                     double uvalue = ixyd.getEndYValue(series, item);
                  if (!Double.isNaN(value)) {
                      minimum = Math.min(minimum, value);
                      maximum = Math.max(maximum, value);
                  }
                     if (!Double.isNaN(lvalue)) {
                         minimum = Math.min(minimum, lvalue);
                      maximum = Math.max(maximum, lvalue);
                     }
                     if (!Double.isNaN(uvalue)) {
                      minimum = Math.min(minimum, uvalue);
                         maximum = Math.max(maximum, uvalue);
                     }
                 }
","
             for (int series = 0; series < seriesCount; series++) {
                 int itemCount = dataset.getItemCount(series);
                 for (int item = 0; item < itemCount; item++) {
                     lvalue = intervalXYData.getStartXValue(series, item);
                     uvalue = intervalXYData.getEndXValue(series, item);
                     if (!Double.isNaN(lvalue)) {
                         minimum = Math.min(minimum, lvalue);
                     }
                     if (!Double.isNaN(uvalue)) {
                         maximum = Math.max(maximum, uvalue);
                     }
                 }

             for (int series = 0; series < seriesCount; series++) {
                 int itemCount = dataset.getItemCount(series);
                 for (int item = 0; item < itemCount; item++) {
                     double lvalue = ixyd.getStartYValue(series, item);
                     double uvalue = ixyd.getEndYValue(series, item);
                     if (!Double.isNaN(lvalue)) {
                         minimum = Math.min(minimum, lvalue);
                     }
                     if (!Double.isNaN(uvalue)) {
                         maximum = Math.max(maximum, uvalue);
                     }
                 }
","
             for (int series = 0; series < seriesCount; series++) {
                 int itemCount = dataset.getItemCount(series);
                 for (int item = 0; item < itemCount; item++) {
                    double value = intervalXYData.getXValue(series, item);
                     lvalue = intervalXYData.getStartXValue(series, item);
                     uvalue = intervalXYData.getEndXValue(series, item);
                    if (!Double.isNaN(value)) {
                        minimum = Math.min(minimum, value);
                        maximum = Math.max(maximum, value);
                    }
                     if (!Double.isNaN(lvalue)) {
                         minimum = Math.min(minimum, lvalue);
                        maximum = Math.max(maximum, lvalue);
                     }
                     if (!Double.isNaN(uvalue)) {
                        minimum = Math.min(minimum, uvalue);
                         maximum = Math.max(maximum, uvalue);
                     }
                 }

             for (int series = 0; series < seriesCount; series++) {
                 int itemCount = dataset.getItemCount(series);
                 for (int item = 0; item < itemCount; item++) {
                    double value = ixyd.getYValue(series, item);
                     double lvalue = ixyd.getStartYValue(series, item);
                     double uvalue = ixyd.getEndYValue(series, item);
                    if (!Double.isNaN(value)) {
                        minimum = Math.min(minimum, value);
                        maximum = Math.max(maximum, value);
                    }
                     if (!Double.isNaN(lvalue)) {
                         minimum = Math.min(minimum, lvalue);
                        maximum = Math.max(maximum, lvalue);
                     }
                     if (!Double.isNaN(uvalue)) {
                        minimum = Math.min(minimum, uvalue);
                         maximum = Math.max(maximum, uvalue);
                     }
                 }
"
10,"junit.framework.AssertionFailedError","/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java","@@ -1794,7 +1794,7 @@ public LegendItemCollection getLegendItems() {
         }
         int index = this.plot.getIndexOf(this);
         CategoryDataset dataset = this.plot.getDataset(index);
      if (dataset != null) {
             return result;
         }
         int seriesCount = dataset.getRowCount();
","@@ -1794,7 +1794,7 @@ public LegendItemCollection getLegendItems() {
         }
         int index = this.plot.getIndexOf(this);
         CategoryDataset dataset = this.plot.getDataset(index);
      if (dataset == null) {
             return result;
         }
         int seriesCount = dataset.getRowCount();
","
         }
         int index = this.plot.getIndexOf(this);
         CategoryDataset dataset = this.plot.getDataset(index);
        if (dataset != null) {
             return result;
         }
         int seriesCount = dataset.getRowCount();
","
         }
         int index = this.plot.getIndexOf(this);
         CategoryDataset dataset = this.plot.getDataset(index);
        if (dataset == null) {
             return result;
         }
         int seriesCount = dataset.getRowCount();
"
