"ids","error","source","code","solution"
57,"junit.framework.ComparisonFailure","/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java","@@ -1355,12 +1355,14 @@ private ExtractionInfo extractMultilineTextualBlock(JsDocToken token,
     // Track the start of the line to count whitespace that
     // the tokenizer skipped. Because this case is rare, it's easier
     // to do this here than in the tokenizer.
 
     do {
       switch (token) {
         case STAR:
           if (ignoreStar) {
             // Mark the position after the star as the new start of the line.
           } else {
             // The star is part of the comment.
             if (builder.length() > 0) {
@@ -1379,6 +1381,7 @@ private ExtractionInfo extractMultilineTextualBlock(JsDocToken token,
           }
 
           ignoreStar = true;
           token = next();
           continue;
 
@@ -1386,7 +1389,19 @@ private ExtractionInfo extractMultilineTextualBlock(JsDocToken token,
           ignoreStar = false;
           state = State.SEARCHING_ANNOTATION;
 
               // All tokens must be separated by a space.
 
           if (token == JsDocToken.EOC ||
               token == JsDocToken.EOF ||
@@ -1411,9 +1426,6 @@ private ExtractionInfo extractMultilineTextualBlock(JsDocToken token,
             return new ExtractionInfo(multilineText, token);
           }
 
           builder.append(toString(token));
 
           line = stream.getRemainingJSDocLine();
","@@ -1355,12 +1355,14 @@ private ExtractionInfo extractMultilineTextualBlock(JsDocToken token,
     // Track the start of the line to count whitespace that
     // the tokenizer skipped. Because this case is rare, it's easier
     // to do this here than in the tokenizer.
+    int lineStartChar = -1;
 
     do {
       switch (token) {
         case STAR:
           if (ignoreStar) {
             // Mark the position after the star as the new start of the line.
+            lineStartChar = stream.getCharno() + 1;
           } else {
             // The star is part of the comment.
             if (builder.length() > 0) {
@@ -1379,6 +1381,7 @@ private ExtractionInfo extractMultilineTextualBlock(JsDocToken token,
           }
 
           ignoreStar = true;
+          lineStartChar = 0;
           token = next();
           continue;
 
@@ -1386,7 +1389,19 @@ private ExtractionInfo extractMultilineTextualBlock(JsDocToken token,
           ignoreStar = false;
           state = State.SEARCHING_ANNOTATION;
 
+          boolean isEOC = token == JsDocToken.EOC;
+          if (!isEOC) {
+            if (lineStartChar != -1 && option == WhitespaceOption.PRESERVE) {
+              int numSpaces = stream.getCharno() - lineStartChar;
+              for (int i = 0; i < numSpaces; i++) {
+                builder.append(' ');
+              }
+              lineStartChar = -1;
+            } else if (builder.length() > 0) {
               // All tokens must be separated by a space.
+              builder.append(' ');
+            }
+          }
 
           if (token == JsDocToken.EOC ||
               token == JsDocToken.EOF ||
@@ -1411,9 +1426,6 @@ private ExtractionInfo extractMultilineTextualBlock(JsDocToken token,
             return new ExtractionInfo(multilineText, token);
           }
 
           builder.append(toString(token));
 
           line = stream.getRemainingJSDocLine();
"
58,"junit.framework.AssertionFailedError","/src/com/google/javascript/rhino/jstype/PrototypeObjectType.java","@@ -554,6 +554,9 @@ JSType resolveInternal(ErrorReporter t, StaticScope<JSType> scope) {
   @Override
   public void matchConstraint(ObjectType constraintObj) {
     // We only want to match contraints on anonymous types.
 
     // Handle the case where the constraint object is a record type.
     //
","@@ -554,6 +554,9 @@ JSType resolveInternal(ErrorReporter t, StaticScope<JSType> scope) {
   @Override
   public void matchConstraint(ObjectType constraintObj) {
     // We only want to match contraints on anonymous types.
+    if (hasReferenceName()) {
+      return;
+    }
 
     // Handle the case where the constraint object is a record type.
     //
"
59,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/InlineCostEstimator.java","@@ -99,5 +99,9 @@ void addIdentifier(String identifier) {
      * Constants (true, false, null) are considered basically free,
      * because it's likely that they will get folded when we're done.
      */
   }
 }
","@@ -99,5 +99,9 @@ void addIdentifier(String identifier) {
      * Constants (true, false, null) are considered basically free,
      * because it's likely that they will get folded when we're done.
      */
+    @Override
+    void addConstant(String newcode) {
+      add(""0"");
+    }
   }
 }
"
60,"java.lang.StackOverflowError","/src/com/google/javascript/jscomp/CodeGenerator.java","@@ -119,9 +119,7 @@ void add(Node n, Context context) {
         cc.addOp(opstr, true);
         addExpr(last, p, rhsContext);
       } else {
       }
       return;
     }
@@ -751,7 +749,7 @@ private void unrollBinaryOperator(
     Node current = firstNonOperator;
     do {
       current = current.getParent();
       addExpr(current.getFirstChild().getNext(), rightPrecedence, rhsContext);
     } while (current != n);
   }
/src/com/google/javascript/jscomp/CodePrinter.java @@ -331,7 +331,7 @@ void endCaseBody() {
     @Override
     void appendOp(String op, boolean binOp) {
       if (binOp) {
           append("" "");
         }
         append(op);
","@@ -119,9 +119,7 @@ void add(Node n, Context context) {
         cc.addOp(opstr, true);
         addExpr(last, p, rhsContext);
       } else {
+        unrollBinaryOperator(n, type, opstr, context, rhsContext, p, p + 1);
       }
       return;
     }
@@ -751,7 +749,7 @@ private void unrollBinaryOperator(
     Node current = firstNonOperator;
     do {
       current = current.getParent();
+      cc.addOp(opStr, true);
       addExpr(current.getFirstChild().getNext(), rightPrecedence, rhsContext);
     } while (current != n);
   }
/src/com/google/javascript/jscomp/CodePrinter.java @@ -331,7 +331,7 @@ void endCaseBody() {
     @Override
     void appendOp(String op, boolean binOp) {
       if (binOp) {
+        if (getLastChar() != ' ' && op.charAt(0) != ',') {
           append("" "");
         }
         append(op);
"
61,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/TypeInference.java","@@ -1118,21 +1118,8 @@ private void inferPropertyTypesToMatchConstraint(
 
     ObjectType constraintObj =
         ObjectType.cast(constraint.restrictByNotNullOrUndefined());
     }
   }
 
","@@ -1118,21 +1118,8 @@ private void inferPropertyTypesToMatchConstraint(
 
     ObjectType constraintObj =
         ObjectType.cast(constraint.restrictByNotNullOrUndefined());
+    if (constraintObj != null) {
+      type.matchConstraint(constraintObj);
     }
   }
 
"
62,"java.lang.RuntimeException","/src/com/google/javascript/jscomp/NodeTraversal.java","@@ -538,7 +538,7 @@ private void traverseFunction(Node n, Node parent) {
 
     // Body
     Preconditions.checkState(body.getNext() == null &&
     traverseBranch(body, n);
 
     popScope();
/src/com/google/javascript/jscomp/parsing/IRFactory.java @@ -664,9 +664,13 @@ Node processFunctionNode(FunctionNode functionNode) {
       node.addChildToBack(lp);
 
       Node bodyNode = transform(functionNode.getBody());
         // When in ideMode Rhino tries to parse some constructs the compiler
         // doesn't support, repair it here. see Rhino's
         // Parser#parseFunctionBodyExpr.
       parseDirectives(bodyNode);
       node.addChildToBack(bodyNode);
      return node;
","@@ -538,7 +538,7 @@ private void traverseFunction(Node n, Node parent) {
 
     // Body
     Preconditions.checkState(body.getNext() == null &&
+            body.isBlock(), body);
     traverseBranch(body, n);
 
     popScope();
/src/com/google/javascript/jscomp/parsing/IRFactory.java @@ -664,9 +664,13 @@ Node processFunctionNode(FunctionNode functionNode) {
       node.addChildToBack(lp);
 
       Node bodyNode = transform(functionNode.getBody());
+      if (!bodyNode.isBlock()) {
         // When in ideMode Rhino tries to parse some constructs the compiler
         // doesn't support, repair it here. see Rhino's
         // Parser#parseFunctionBodyExpr.
+        Preconditions.checkState(config.isIdeMode);
+        bodyNode = IR.block();
+      }
       parseDirectives(bodyNode);
       node.addChildToBack(bodyNode);
      return node;
"
63,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/InlineVariables.java","@@ -572,6 +572,9 @@ private boolean canInline(
 
           // issue 668: Don't inline singleton getter methods
           // calls as this confused class removing logic.
         }
       }
 
","@@ -572,6 +572,9 @@ private boolean canInline(
 
           // issue 668: Don't inline singleton getter methods
           // calls as this confused class removing logic.
+          if (convention.getSingletonGetterClassName(callNode) != null) {
+            return false;
+          }
         }
       }
 
"
64,"junit.framework.ComparisonFailure","/src/com/google/javascript/rhino/jstype/PrototypeObjectType.java","@@ -377,10 +377,10 @@ String toStringHelper(boolean forAnnotations) {
 
         sb.append(property);
         sb.append("": "");
 
         ++i;
           sb.append("", ..."");
           break;
         }
@@ -391,7 +391,7 @@ String toStringHelper(boolean forAnnotations) {
       prettyPrint = true;
       return sb.toString();
     } else {
     }
   }
 
","@@ -377,10 +377,10 @@ String toStringHelper(boolean forAnnotations) {
 
         sb.append(property);
         sb.append("": "");
+        sb.append(getPropertyType(property).toStringHelper(forAnnotations));
 
         ++i;
+        if (!forAnnotations && i == MAX_PRETTY_PRINTED_PROPERTIES) {
           sb.append("", ..."");
           break;
         }
@@ -391,7 +391,7 @@ String toStringHelper(boolean forAnnotations) {
       prettyPrint = true;
       return sb.toString();
     } else {
+      return forAnnotations ? ""?"" : ""{...}"";
     }
   }
 
"
65,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/RemoveUnusedVars.java","@@ -729,6 +729,7 @@ private void interpretAssigns() {
             assignedToUnknownValue = true;
           }
 
           for (Assign assign : assignsByVar.get(var)) {
             if (assign.isPropertyAssign) {
               hasPropertyAssign = true;
@@ -736,9 +737,12 @@ private void interpretAssigns() {
                 assign.assignNode.getLastChild(), true)) {
               assignedToUnknownValue = true;
             }
           }
 
             changes = markReferencedVar(var) || changes;
             maybeUnreferenced.remove(current);
             current--;
@@ -901,7 +905,7 @@ void apply() {
       this.nameNode = nameNode;
       this.isPropertyAssign = isPropertyAssign;
 
       this.mayHaveSecondarySideEffects =
           maybeAliased ||
           NodeUtil.mayHaveSideEffects(assignNode.getFirstChild()) ||
","@@ -729,6 +729,7 @@ private void interpretAssigns() {
             assignedToUnknownValue = true;
           }
 
+          boolean maybeEscaped = false;
           for (Assign assign : assignsByVar.get(var)) {
             if (assign.isPropertyAssign) {
               hasPropertyAssign = true;
@@ -736,9 +737,12 @@ private void interpretAssigns() {
                 assign.assignNode.getLastChild(), true)) {
               assignedToUnknownValue = true;
             }
+            if (assign.maybeAliased) {
+              maybeEscaped = true;
+            }
           }
 
+          if ((assignedToUnknownValue || maybeEscaped) && hasPropertyAssign) {
             changes = markReferencedVar(var) || changes;
             maybeUnreferenced.remove(current);
             current--;
@@ -901,7 +905,7 @@ void apply() {
       this.nameNode = nameNode;
       this.isPropertyAssign = isPropertyAssign;
 
+      this.maybeAliased = NodeUtil.isExpressionResultUsed(assignNode);
       this.mayHaveSecondarySideEffects =
           maybeAliased ||
           NodeUtil.mayHaveSideEffects(assignNode.getFirstChild()) ||
"
66,"junit.framework.ComparisonFailure","/src/com/google/javascript/jscomp/CodeConsumer.java","@@ -242,7 +242,7 @@ void addNumber(double x) {
     // x--4 (which is a syntax error).
     char prev = getLastChar();
     boolean negativeZero = isNegativeZero(x);
       add("" "");
     }
 
","@@ -242,7 +242,7 @@ void addNumber(double x) {
     // x--4 (which is a syntax error).
     char prev = getLastChar();
     boolean negativeZero = isNegativeZero(x);
+    if ((x < 0 || negativeZero) && prev == '-') {
       add("" "");
     }
 
"
